selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,3,G1,1.0,85,261442.00000000003,435481.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,261442.00000000003,13.0,-3.0,261442.00000000003,0.0,-15.0,42.0,-9.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,86,450226.0,2709.9999999999995,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,450226.0,7.0,7.0,452936.0,2709.9999999999995,-6.0,28.0,21.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,86,261519.0,450226.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,261519.0,14.0,-2.0,261519.0,0.0,-15.0,42.0,-6.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,87,460212.0,3719.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,460212.0,8.0,8.0,463931.0,3719.0,-6.0,28.0,24.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,87,258027.0,460212.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,258027.0,15.0,-1.0,258027.0,0.0,-15.0,42.0,-3.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,88,480791.0,3597.999999999999,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,480791.0,9.0,9.0,484389.0,3597.999999999999,-6.0,28.0,27.0,2+ ($n_2$=89),89
0,Position_2,3,G1,1.0,88,271944.0,480791.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,15.0,73.0,271944.0,16.0,0.0,271944.0,0.0,-15.0,42.0,0.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,89,482163.0,6332.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,482163.0,10.0,10.0,488495.0,6332.000000000001,-6.0,28.0,30.0,2+ ($n_2$=89),89
0,Position_2,3,S,1.0,89,272058.0,440.00000000000006,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,272058.0,1.0,1.0,272498.0,440.00000000000006,-15.0,42.0,3.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,90,490113.00000000006,5270.999999999999,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,490113.00000000006,11.0,11.0,495384.00000000006,5270.999999999999,-6.0,28.0,33.0,2+ ($n_2$=89),89
0,Position_2,3,S,1.0,90,267700.0,581.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,267700.0,2.0,2.0,268281.0,581.0,-15.0,42.0,6.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,91,497999.0,5958.000000000002,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,497999.0,12.0,12.0,503957.0,5958.000000000002,-6.0,28.0,36.0,2+ ($n_2$=89),89
0,Position_2,3,S,1.0,91,273952.0,1169.0000000000002,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,273952.0,3.0,3.0,275121.0,1169.0000000000002,-15.0,42.0,9.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,92,497345.0,8270.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,497345.0,13.0,13.0,505615.0,8270.0,-6.0,28.0,39.0,2+ ($n_2$=89),89
0,Position_2,3,S,1.0,92,269903.0,1290.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,269903.0,4.0,4.0,271193.0,1290.0,-15.0,42.0,12.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,93,507398.0,9351.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,507398.0,14.0,14.0,516750.0,9351.999999999998,-6.0,28.0,42.0,2+ ($n_2$=89),89
0,Position_2,3,S,1.0,93,266657.0,3279.0,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,266657.0,5.0,5.0,269936.0,3279.0,-15.0,42.0,15.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,94,499542.0,15121.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,499542.0,15.0,15.0,514664.0,15121.999999999998,-6.0,28.0,45.0,2+ ($n_2$=89),88
0,Position_2,3,S,1.0,94,271965.0,3142.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,5.0,41.0,89.0,271965.0,6.0,6.0,275107.0,3142.0000000000005,-15.0,42.0,18.0,1st ($n_1$=48),48
0,Position_2,1,S,4.0,95,507306.0,12433.0,MIA_KC_htb1_mCitrine_labeled,mother,4.0,27.0,80.0,507306.0,16.0,16.0,519739.0,12433.0,-6.0,28.0,48.0,2+ ($n_2$=89),87
