Position_n,frame_i,Cell_ID,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl
Position_5,0,11,FALSE,FALSE,112,66,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3535,149453.3854,18.57879351,56.94398965
Position_6,0,1,FALSE,FALSE,690,71,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5394,267384.7242,28.34908407,101.877605
Position_6,0,2,FALSE,FALSE,697,135,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2571,96753.54492,13.51232761,36.86455709
Position_6,0,3,FALSE,FALSE,642,152,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3557,140294.553,18.69441825,53.4543366
Position_6,0,4,FALSE,FALSE,590,188,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4025,182542.1521,21.15407181,69.55130786
Position_6,0,5,FALSE,FALSE,648,211,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2445,80190.12224,12.85011319,30.55364372
Position_6,0,6,FALSE,FALSE,70,297,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4117,186736.8864,21.63759346,71.14956475
Position_6,0,7,FALSE,FALSE,108,345,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2619,89621.40033,13.76459977,34.14710264
Position_6,0,8,FALSE,FALSE,512,618,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2932,110832.3279,15.40962449,42.22878533
Position_6,0,9,FALSE,FALSE,664,625,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,849,17768.59424,4.462063844,6.770101885
Position_6,0,10,FALSE,FALSE,571,638,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4581,228628.0222,24.07622434,87.11071811
Position_6,0,11,FALSE,FALSE,631,664,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3346,124434.0407,17.58547187,47.41124266
Position_6,0,12,FALSE,FALSE,727,689,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4708,234319.557,24.74369444,89.27927853
Position_6,0,13,FALSE,FALSE,660,710,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3117,114778.6538,16.38192344,43.73239491
Position_6,0,14,FALSE,FALSE,771,740,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2223,72636.69135,11.68335445,27.67567284
Position_6,0,15,FALSE,FALSE,707,752,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3251,128278.4954,17.08618322,48.87603779
Position_6,0,16,FALSE,FALSE,647,766,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2094,67334.72957,11.00537301,25.65554559
Position_7,0,1,FALSE,FALSE,296,178,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,5176,263050.2763,27.203348,100.2261151
Position_7,0,2,FALSE,FALSE,341,206,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,777,15258.93175,4.083655602,5.813882696
Position_7,0,3,FALSE,FALSE,307,248,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3631,153995.7982,19.08333783,58.6747173
Position_7,0,4,FALSE,FALSE,250,284,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2850,102226.8179,14.97865955,38.94995651
Position_7,0,5,FALSE,FALSE,304,316,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4102,183222.7274,21.55875841,69.81061727
Position_7,0,6,FALSE,FALSE,302,380,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2988,113559.1892,15.70394201,43.26776053
Position_7,0,7,FALSE,FALSE,114,612,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3469,140873.2346,18.23191929,53.67482301
Position_7,0,8,FALSE,FALSE,101,661,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1835,57014.96803,9.644154479,21.72356109
Position_7,0,9,FALSE,FALSE,658,687,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4692,230627.0566,24.65960372,87.87238029
Position_7,0,10,FALSE,FALSE,656,751,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2785,108109.3539,14.63704099,41.19129124
Position_8,0,1,FALSE,FALSE,71,75,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3638,154692.2387,19.12012752,58.94007159
Position_8,0,2,FALSE,FALSE,745,109,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,6414,377087.4478,33.70986748,143.6759941
Position_8,0,3,FALSE,FALSE,58,116,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,307,3557.081283,1.613490695,1.355301515
Position_8,0,4,FALSE,FALSE,115,124,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4465,221710.0734,23.46656662,84.47487546
Position_8,0,5,FALSE,FALSE,729,180,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,3280,133668.3718,17.23859765,50.92966181
Position_8,0,6,FALSE,FALSE,108,186,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2705,101184.5335,14.21658739,38.55283045
Position_8,0,7,FALSE,FALSE,444,299,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4943,257386.8854,25.97877689,98.06827792
Position_8,0,8,FALSE,FALSE,174,333,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,4561,217048.2337,23.97111094,82.69864439
Position_8,0,9,FALSE,FALSE,428,355,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1739,51881.729,9.139610158,19.76771975
Position_8,0,10,FALSE,FALSE,175,390,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,2120,66785.53719,11.14202043,25.44629503
