frame_i,Cell_ID,file,position,x_label,mCitrine_corrected_amount,mCitrine_corrected_concentration
207,14,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),213612.0,1864.8501522369534
157,10,MIA_KC_htb1_mCitrine_labeled,Position_4,2 (n=45),245276.0,2109.283170321591
185,5,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),257987.0,2252.9657241179734
131,3,MIA_KC_htb1_mCitrine_labeled,Position_2,2 (n=45),265838.0,3263.6220741533816
164,9,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),319260.0,4003.466586031766
219,6,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),380294.0,1403.9604664333594
218,18,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),266012.0,3301.315793554897
201,14,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),260131.0,4003.270256035255
183,13,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),277955.0,3759.9930055206937
176,12,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),285331.0,4120.921484633511
210,18,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),256344.99999999997,2649.455526220888
98,5,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),284012.0,3466.69757280666
240,30,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),280798.0,2962.2239801585115
240,10,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),362784.0,1855.434686721178
237,21,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),247368.0,6727.137649333641
240,22,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),296300.0,5583.50775151896
228,22,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),249803.0,2550.982303345733
232,21,MIA_KC_htb1_mCitrine_labeled,Position_8,2 (n=45),306253.0,3475.9353133065283
217,19,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),229004.00000000003,2641.0883214841106
215,17,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),169627.0,1725.373972683643
216,20,MIA_KC_htb1_mCitrine_labeled,Position_5,2 (n=45),218735.0,2862.9569240452615
220,12,MIA_KC_htb1_mCitrine_labeled,Position_8,3 (n=19),285258.0,3424.9281668429367
195,4,MIA_KC_htb1_mCitrine_labeled,Position_3,3 (n=19),279841.0,2019.1133619897435
218,5,MIA_KC_htb1_mCitrine_labeled,Position_3,3 (n=19),257511.0,1859.1213086687906
202,9,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),238276.00000000003,2634.8103502448957
236,5,MIA_KC_htb1_mCitrine_labeled,Position_2,3 (n=19),287222.0,2026.5916591597395
234,4,MIA_KC_htb1_mCitrine_labeled,Position_2,3 (n=19),369791.0,1731.1627080007488
195,9,MIA_KC_htb1_mCitrine_labeled,Position_8,3 (n=19),300826.0,3578.275282953115
134,4,MIA_KC_htb1_mCitrine_labeled,Position_4,3 (n=19),250704.99999999997,2625.3905643348644
165,6,MIA_KC_htb1_mCitrine_labeled,Position_4,3 (n=19),247248.0,1872.9365901556266
143,3,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),263181.0,2865.4801589239823
133,5,MIA_KC_htb1_mCitrine_labeled,Position_8,3 (n=19),350750.0,3616.9931222640853
180,7,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),279437.00000000006,2607.13233278562
139,4,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),258072.0,1805.63195186282
234,13,MIA_KC_htb1_mCitrine_labeled,Position_8,3 (n=19),300386.0,3885.741224195842
158,5,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),269855.0,3553.847427844192
206,12,MIA_KC_htb1_mCitrine_labeled,Position_4,3 (n=19),271743.0,1988.9968835598447
201,3,MIA_KC_htb1_mCitrine_labeled,Position_2,3 (n=19),252804.0,2500.642853458889
193,10,MIA_KC_htb1_mCitrine_labeled,Position_4,3 (n=19),284441.0,2465.353416462478
169,6,MIA_KC_htb1_mCitrine_labeled,Position_5,3 (n=19),283956.0,2147.669874992483
166,5,MIA_KC_htb1_mCitrine_labeled,Position_8,4 (n=10),308757.0,2749.941664570598
213,7,MIA_KC_htb1_mCitrine_labeled,Position_5,4 (n=10),312392.0,3248.4770177999526
237,4,MIA_KC_htb1_mCitrine_labeled,Position_3,4 (n=10),271268.0,1989.6998487805827
179,4,MIA_KC_htb1_mCitrine_labeled,Position_5,4 (n=10),233246.00000000003,1362.4598633768596
232,9,MIA_KC_htb1_mCitrine_labeled,Position_8,4 (n=10),314041.0,3051.955410131346
199,5,MIA_KC_htb1_mCitrine_labeled,Position_5,4 (n=10),256707.99999999997,2723.388487889178
