Position_n,frame_i,Cell_ID,time_seconds,is_cell_dead,is_cell_excluded,x_centroid,y_centroid,editIDclicked_x,editIDclicked_y,editIDnewID,cell_cycle_stage,generation_num,relative_ID,relationship,emerg_frame_i,division_frame_i,is_history_known,corrected_assignment,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,FITC_mean,phase_contr_mean,FITC_median,phase_contr_median,FITC_min,phase_contr_min,FITC_max,phase_contr_max,FITC_sum,phase_contr_sum,FITC_q25,phase_contr_q25,FITC_q75,phase_contr_q75,FITC_q05,phase_contr_q05,FITC_q95,phase_contr_q95,FITC_amount_autoBkgr,phase_contr_amount_autoBkgr,FITC_amount_dataPrepBkgr,phase_contr_amount_dataPrepBkgr
Position_7,0,31,0,0,0,145,478,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1242,30964.38821,57.19802472,306.0213006,261.889694,2533.559581,260,2523.5,216,2209,468,3080,325267,3146681,250,2427,271,2633.75,236,2316,289,2788.95,35881,239159,0,0
Position_7,0,32,0,0,0,468,55,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1129,28022.45462,51.99401764,276.946147,344.55093,2467.18512,342,2463,294,1967,417,2985,388998,2785452,330,2373,359,2569,312,2155.4,381,2753.8,125941,142463,0,0
Position_8,0,5,0,0,0,404,43,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1271,32615.86091,58.53356636,322.3428188,314.9905586,2396.826121,315,2377,263,2127,394,2792,400353,3046366,302.5,2326,326,2454,286.5,2252.5,344,2604.5,71164,82394,0,0
Position_8,0,24,0,0,0,16,176,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1121,26273.14221,51.62559236,259.6576782,313.7314897,2525.64496,311,2514,262,2158,398,3078,351693,2831248,298,2431,328,2606,286,2305,351,2795,61354,217076,0,0
Position_8,0,26,0,0,0,68,187,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,999,22997.33389,46.00710684,227.2828379,314.3683684,2566.146146,314,2546,265,2179,367,3043,314054,2563580,303,2448,325.5,2677,288,2317.9,342,2860.4,55313,233912,0,0
Position_8,0,30,0,0,0,113,201,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,821,17195.60499,37.80964436,169.944304,323.6041413,2684.058465,324,2671,269,2008,384,3270,265679,2203612,311,2510,336,2868,294,2264,352,3125,53040,289040,0,0
Position_8,0,39,0,0,0,202,282,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1424,38668.67671,65.57969984,382.1628465,303.7106742,2541.601124,303,2539,254,1975,378,3049,432484,3619240,291,2428,316,2660,275,2274,335,2807.7,63668,298472,0,0
Position_8,0,40,0,0,0,311,284,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1151,27604.24689,53.00718716,272.8129966,288.9939183,2596.186794,288,2581,237,2146,351,3329,332632,2988211,279,2464.5,299.5,2713,265,2293,315,2943.5,34523,304079,0,0
Position_8,0,50,0,0,0,12,321,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,872,16645.40119,40.15835552,164.5066354,279.5183486,2517.650229,279,2498,242,2163,326,3004,243740,2195391,269,2422.75,288,2603,260,2297.65,303,2779.9,17892,161887,0,0
Position_8,0,56,0,0,0,267,386,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1069,25472.7477,49.23082804,251.7473728,263.7577175,2635.519177,264,2610,222,2233,307,3204,281957,2817370,253,2502,273,2751,240,2355.4,288,2990.6,5086,324462,0,0
Position_8,0,57,0,0,0,426,386,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,988,22284.51905,45.50052208,220.238083,275.1508097,2497.970648,272,2489,208,2160,353,2848,271849,2467995,259,2420,289,2572.25,245.35,2319,316,2708.65,15957,163979,0,0
Position_8,0,59,0,0,0,170,399,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1163,28004.66349,53.55982508,276.7703171,244.9862425,2447.88994,245,2433,206,2200,288,2821,284919,2846896,236,2375.5,253,2512,223.1,2310.1,268,2631,-16298,134780,0,0
Position_8,0,61,0,0,0,425,426,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1604,46886.37207,73.86926864,463.3783967,420.5679551,2465.69202,404.5,2460,279,2135,737,2917,674591,3954970,364,2393,468,2532,326,2304.15,556,2658.85,259155,214442,0,0
Position_8,0,62,0,0,0,468,433,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,846,18237.69968,38.96097336,180.2433343,282.4881797,2508.840426,282,2494,147,2150,354,3056,238985,2122479,271,2397.25,294,2604,256,2275.25,312.75,2788.5,19871,149607,0,0
Position_8,0,64,0,0,0,494,458,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,981,21773.3314,45.17814996,215.1860114,281.2405708,2638.12844,281,2610,240,2152,346,3318,275897,2588004,266,2478,295,2773,255,2336,309,3028,21818,300312,0,0
Position_8,0,65,0,0,0,408,461,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1327,35104.01724,61.11254332,346.933288,313.9781462,2518.345893,311,2496,249,2149,414,2991,416649,3341845,293,2419,332,2600,274,2317.3,367,2786,72956,247281,0,0
Position_8,0,68,0,0,0,263,299,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,705,13595.29832,32.4674778,134.3624439,302.3574468,2679.52766,302,2643,265,2231,352,3294,213162,1889067,291,2502,314,2837,277,2377.6,328,3090.4,30567,245007,0,0
Position_9,0,8,0,0,0,492,124,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1021,23397.86411,47.02027636,231.2412814,273.1958864,2678.903036,271,2684,237,2149,332,3318,278933,2735160,263,2538,282,2808,252,2352,300,3024,37977,341936,0,0
Position_9,0,10,0,0,0,42,134,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1050,21819.03851,48.355818,215.6377351,255.7447619,2569.59619,255,2555.5,214,2038,308,3082,268532,2698076,247,2455,265,2681,235,2274.45,278,2883.55,20732,236876,0,0
Position_9,0,12,0,0,0,66,197,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1134,28542.00176,52.22428344,282.0808356,271.3500882,2578.247795,272,2559,232,2093,322,3209,307711,2923733,262,2461,280,2669.75,248,2337,295,2898,40087,265637,0,0
Position_9,0,20,0,0,0,245,381,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,1190,30063.56316,54.8032604,297.1184393,264.7621849,2607.37395,264,2588.5,215,2165,315,3317,315067,3102775,254,2474,274,2710.75,243,2359,289.55,2941.3,34227,313415,0,0
Position_10,0,13,0,0,0,492,174,,,-1,G1,2,-1,mother,-1,-1,FALSE,FALSE,919,19242.16713,42.32285404,190.1704943,291.4483134,2647.007617,290,2625,251,2201,353,3203,267841,2432600,278,2521.5,303,2753,269,2376.9,322,2985.2,37172,267436,0,0
