selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_4,4,S,3,154,422638.0,17825.0,MIA_KC_test_files,mother,23,24,145,,10,10,-10,25,30,2+ ($n_2$=79),79,Bud signal,17825.0
0,Position_4,6,S,2,154,433070.0,25242.0,MIA_KC_test_files,mother,21,23,141,,14,14,-14,24,42,2+ ($n_2$=79),79,Bud signal,25242.0
0,Position_4,10,S,1,154,242267.0,232984.0,MIA_KC_test_files,mother,18,31,125,,30,30,-8,32,90,1st ($n_1$=38),25,Bud signal,232984.0
0,Position_4,12,S,1,154,476302.0,27758.0,MIA_KC_test_files,mother,22,24,145,,10,10,-18,25,30,1st ($n_1$=38),38,Bud signal,27758.0
0,Position_4,17,G1,1,154,242935.0,283289.0,MIA_KC_test_files,mother,3,13,150,,5,-9,-13,31,-27,1st ($n_1$=38),36,Bud signal,0.0
0,Position_4,1,S,6,155,293912.0,257043.0,MIA_KC_test_files,mother,20,22,133,,23,23,-7,23,69,2+ ($n_2$=79),71,Bud signal,257043.0
0,Position_4,2,G1,4,155,257585.0,,MIA_KC_test_files,mother,19,5,152,,4,-2,-5,57,-6,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,3,G1,7,155,279132.0,241880.00000000003,MIA_KC_test_files,mother,17,9,150,,6,-4,-9,39,-12,2+ ($n_2$=79),74,Bud signal,0.0
0,Position_4,4,S,3,155,442467.0,16991.0,MIA_KC_test_files,mother,23,24,145,,11,11,-10,25,33,2+ ($n_2$=79),79,Bud signal,16991.0
0,Position_4,6,S,2,153,465024.0,18173.0,MIA_KC_test_files,mother,21,23,141,,13,13,-14,24,39,2+ ($n_2$=79),79,Bud signal,18173.0
0,Position_4,6,S,2,155,462766.0,24809.0,MIA_KC_test_files,mother,21,23,141,,15,15,-14,24,45,2+ ($n_2$=79),78,Bud signal,24809.0
0,Position_4,4,S,3,153,413867.0,13613.000000000002,MIA_KC_test_files,mother,23,24,145,,9,9,-10,25,27,2+ ($n_2$=79),79,Bud signal,13613.000000000002
0,Position_4,2,G1,4,153,280379.0,273325.0,MIA_KC_test_files,mother,19,5,152,,2,-4,-5,57,-12,2+ ($n_2$=79),74,Bud signal,0.0
0,Position_4,3,G1,7,151,291611.0,247804.0,MIA_KC_test_files,mother,17,9,150,,2,-8,-9,39,-24,2+ ($n_2$=79),47,Bud signal,0.0
0,Position_4,4,S,3,151,399637.0,13604.0,MIA_KC_test_files,mother,23,24,145,,7,7,-10,25,21,2+ ($n_2$=79),79,Bud signal,13604.0
0,Position_4,6,S,2,151,462931.0,24701.0,MIA_KC_test_files,mother,21,23,141,,11,11,-14,24,33,2+ ($n_2$=79),79,Bud signal,24701.0
0,Position_4,10,S,1,151,241108.0,229928.00000000003,MIA_KC_test_files,mother,18,31,125,,27,27,-8,32,81,1st ($n_1$=38),28,Bud signal,229928.00000000003
0,Position_4,12,S,1,151,402322.0,22061.000000000004,MIA_KC_test_files,mother,22,24,145,,7,7,-18,25,21,1st ($n_1$=38),38,Bud signal,22061.000000000004
0,Position_4,17,G1,1,151,247804.0,291611.0,MIA_KC_test_files,mother,3,13,150,,2,-12,-13,31,-36,1st ($n_1$=38),32,Bud signal,0.0
0,Position_4,1,S,6,152,276848.0,252540.0,MIA_KC_test_files,mother,20,22,133,,20,20,-7,23,60,2+ ($n_2$=79),75,Bud signal,252540.0
0,Position_4,2,G1,4,152,274843.0,275591.0,MIA_KC_test_files,mother,19,5,152,,1,-5,-5,57,-15,2+ ($n_2$=79),72,Bud signal,0.0
0,Position_4,3,G1,7,152,274727.0,251266.00000000003,MIA_KC_test_files,mother,17,9,150,,3,-7,-9,39,-21,2+ ($n_2$=79),57,Bud signal,0.0
0,Position_4,4,S,3,152,399233.00000000006,14401.0,MIA_KC_test_files,mother,23,24,145,,8,8,-10,25,24,2+ ($n_2$=79),79,Bud signal,14401.0
0,Position_4,6,S,2,152,460768.0,22901.0,MIA_KC_test_files,mother,21,23,141,,12,12,-14,24,36,2+ ($n_2$=79),79,Bud signal,22901.0
0,Position_4,10,S,1,152,236316.0,232730.0,MIA_KC_test_files,mother,18,31,125,,28,28,-8,32,84,1st ($n_1$=38),26,Bud signal,232730.0
0,Position_4,12,S,1,152,432403.0,27321.0,MIA_KC_test_files,mother,22,24,145,,8,8,-18,25,24,1st ($n_1$=38),38,Bud signal,27321.0
0,Position_4,17,G1,1,152,251266.00000000003,274727.0,MIA_KC_test_files,mother,3,13,150,,3,-11,-13,31,-33,1st ($n_1$=38),32,Bud signal,0.0
0,Position_4,1,S,6,153,289979.0,257284.00000000003,MIA_KC_test_files,mother,20,22,133,,21,21,-7,23,63,2+ ($n_2$=79),75,Bud signal,257284.00000000003
0,Position_4,3,G1,7,153,282644.0,246597.0,MIA_KC_test_files,mother,17,9,150,,4,-6,-9,39,-18,2+ ($n_2$=79),63,Bud signal,0.0
0,Position_4,10,S,1,155,247896.0,230772.00000000003,MIA_KC_test_files,mother,18,31,125,,31,31,-8,32,93,1st ($n_1$=38),23,Bud signal,230772.00000000003
0,Position_4,12,S,1,155,481691.0,27077.0,MIA_KC_test_files,mother,22,24,145,,11,11,-18,25,33,1st ($n_1$=38),38,Bud signal,27077.0
0,Position_4,17,G1,1,155,241880.00000000003,279132.0,MIA_KC_test_files,mother,3,13,150,,6,-8,-13,31,-24,1st ($n_1$=38),37,Bud signal,0.0
0,Position_4,2,S,4,158,298539.00000000006,224.0,MIA_KC_test_files,mother,24,56,158,,1,1,-5,57,3,2+ ($n_2$=79),79,Bud signal,224.0
0,Position_4,3,G1,7,158,291358.0,237786.0,MIA_KC_test_files,mother,17,9,150,,9,-1,-9,39,-3,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,4,S,3,158,460825.0,22874.0,MIA_KC_test_files,mother,23,24,145,,14,14,-10,25,42,2+ ($n_2$=79),79,Bud signal,22874.0
0,Position_4,6,S,2,158,267821.0,177456.0,MIA_KC_test_files,mother,21,23,141,,18,18,-14,24,54,2+ ($n_2$=79),76,Bud signal,177456.0
0,Position_4,10,G1,2,158,243621.00000000003,230450.0,MIA_KC_test_files,mother,18,5,157,,2,-4,-5,30,-12,2+ ($n_2$=79),74,Bud signal,0.0
0,Position_4,12,S,1,158,480825.0,43464.99999999999,MIA_KC_test_files,mother,22,24,145,,14,14,-18,25,42,1st ($n_1$=38),38,Bud signal,43464.99999999999
0,Position_4,17,G1,1,158,237786.0,291358.0,MIA_KC_test_files,mother,3,13,150,,9,-5,-13,31,-15,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,18,G1,1,158,230450.0,243621.00000000003,MIA_KC_test_files,mother,10,23,157,,2,-22,-23,53,-66,1st ($n_1$=38),11,Bud signal,0.0
0,Position_4,20,G1,1,158,250347.0,314236.0,MIA_KC_test_files,mother,1,21,156,,3,-19,-21,33,-57,1st ($n_1$=38),18,Bud signal,0.0
0,Position_4,1,G1,7,159,307459.0,251998.00000000003,MIA_KC_test_files,mother,20,6,156,,4,-3,-6,26,-9,2+ ($n_2$=79),76,Bud signal,0.0
0,Position_4,2,S,4,159,296560.0,667.0,MIA_KC_test_files,mother,24,56,158,,2,2,-5,57,6,2+ ($n_2$=79),79,Bud signal,667.0
0,Position_4,3,G1,7,159,307480.0,238029.0,MIA_KC_test_files,mother,17,9,150,,10,0,-9,39,0,2+ ($n_2$=79),79,Bud signal,0.0
0,Position_4,4,S,3,159,483030.0,18120.0,MIA_KC_test_files,mother,23,24,145,,15,15,-10,25,45,2+ ($n_2$=79),78,Bud signal,18120.0
0,Position_4,6,S,2,159,269255.0,173238.0,MIA_KC_test_files,mother,21,23,141,,19,19,-14,24,57,2+ ($n_2$=79),76,Bud signal,173238.0
0,Position_4,10,G1,2,159,242968.0,229400.0,MIA_KC_test_files,mother,18,5,157,,3,-3,-5,30,-9,2+ ($n_2$=79),76,Bud signal,0.0
0,Position_4,1,G1,7,158,314236.0,250347.0,MIA_KC_test_files,mother,20,6,156,,3,-4,-6,26,-12,2+ ($n_2$=79),74,Bud signal,0.0
0,Position_4,20,G1,1,157,253303.0,304882.0,MIA_KC_test_files,mother,1,21,156,,2,-20,-21,33,-60,1st ($n_1$=38),16,Bud signal,0.0
0,Position_4,18,G1,1,157,228230.0,245276.0,MIA_KC_test_files,mother,10,23,157,,1,-23,-23,53,-69,1st ($n_1$=38),10,Bud signal,0.0
0,Position_4,17,G1,1,157,246693.0,284467.0,MIA_KC_test_files,mother,3,13,150,,8,-6,-13,31,-18,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,1,G1,7,156,305090.99999999994,255686.0,MIA_KC_test_files,mother,20,6,156,,1,-6,-6,26,-18,2+ ($n_2$=79),63,Bud signal,0.0
0,Position_4,2,G1,4,156,275823.0,,MIA_KC_test_files,mother,19,5,152,,5,-1,-5,57,-3,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,3,G1,7,156,272119.0,244399.00000000003,MIA_KC_test_files,mother,17,9,150,,7,-3,-9,39,-9,2+ ($n_2$=79),76,Bud signal,0.0
0,Position_4,4,S,3,156,450514.0,16263.999999999998,MIA_KC_test_files,mother,23,24,145,,12,12,-10,25,36,2+ ($n_2$=79),79,Bud signal,16263.999999999998
0,Position_4,6,S,2,156,423769.0,62768.99999999999,MIA_KC_test_files,mother,21,23,141,,16,16,-14,24,48,2+ ($n_2$=79),77,Bud signal,62768.99999999999
0,Position_4,10,S,1,156,244254.0,236062.00000000003,MIA_KC_test_files,mother,18,31,125,,32,32,-8,32,96,1st ($n_1$=38),19,Bud signal,236062.00000000003
0,Position_4,12,S,1,156,502841.0,25429.0,MIA_KC_test_files,mother,22,24,145,,12,12,-18,25,36,1st ($n_1$=38),38,Bud signal,25429.0
0,Position_4,2,S,3,151,272897.0,258088.00000000003,MIA_KC_test_files,mother,19,25,126,,26,26,-9,26,78,2+ ($n_2$=79),55,Bud signal,258088.00000000003
0,Position_4,17,G1,1,156,244399.00000000003,272119.0,MIA_KC_test_files,mother,3,13,150,,7,-7,-13,31,-21,1st ($n_1$=38),37,Bud signal,0.0
0,Position_4,1,G1,7,157,304882.0,253303.0,MIA_KC_test_files,mother,20,6,156,,2,-5,-6,26,-15,2+ ($n_2$=79),72,Bud signal,0.0
0,Position_4,2,G1,4,157,286558.0,,MIA_KC_test_files,mother,19,5,152,,6,0,-5,57,0,2+ ($n_2$=79),79,Bud signal,0.0
0,Position_4,3,G1,7,157,284467.0,246693.0,MIA_KC_test_files,mother,17,9,150,,8,-2,-9,39,-6,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,4,S,3,157,461720.0,21531.000000000004,MIA_KC_test_files,mother,23,24,145,,13,13,-10,25,39,2+ ($n_2$=79),79,Bud signal,21531.000000000004
0,Position_4,6,S,2,157,334686.0,130489.0,MIA_KC_test_files,mother,21,23,141,,17,17,-14,24,51,2+ ($n_2$=79),77,Bud signal,130489.0
0,Position_4,10,G1,2,157,245276.0,228230.0,MIA_KC_test_files,mother,18,5,157,,1,-5,-5,30,-15,2+ ($n_2$=79),72,Bud signal,0.0
0,Position_4,12,S,1,157,487615.0,35618.0,MIA_KC_test_files,mother,22,24,145,,13,13,-18,25,39,1st ($n_1$=38),38,Bud signal,35618.0
0,Position_4,20,G1,1,156,255686.0,305090.99999999994,MIA_KC_test_files,mother,1,21,156,,1,-21,-21,33,-63,1st ($n_1$=38),15,Bud signal,0.0
0,Position_4,17,G1,1,159,238029.0,307480.0,MIA_KC_test_files,mother,3,13,150,,10,-4,-13,31,-12,1st ($n_1$=38),38,Bud signal,0.0
0,Position_4,1,S,6,151,259168.0,253508.0,MIA_KC_test_files,mother,20,22,133,,19,19,-7,23,57,2+ ($n_2$=79),76,Bud signal,253508.0
0,Position_4,12,S,1,150,402036.0,22800.0,MIA_KC_test_files,mother,22,24,145,,6,6,-18,25,18,1st ($n_1$=38),38,Bud signal,22800.0
0,Position_4,2,S,3,143,399786.0,119599.0,MIA_KC_test_files,mother,19,25,126,,18,18,-9,26,54,2+ ($n_2$=79),76,Bud signal,119599.0
0,Position_4,3,S,6,143,301481.0,214842.0,MIA_KC_test_files,mother,17,27,122,,22,22,-5,28,66,2+ ($n_2$=79),74,Bud signal,214842.0
0,Position_4,4,G1,3,143,284459.0,,MIA_KC_test_files,mother,16,10,134,,10,-1,-10,25,-3,2+ ($n_2$=79),78,Bud signal,0.0
0,Position_4,6,S,2,143,373713.0,4249.0,MIA_KC_test_files,mother,21,23,141,,3,3,-14,24,9,2+ ($n_2$=79),79,Bud signal,4249.0
0,Position_4,10,S,1,143,440491.0,8738.0,MIA_KC_test_files,mother,18,31,125,,19,19,-8,32,57,1st ($n_1$=38),38,Bud signal,8738.0
