selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time,Method of calculation,value
0,Position_3,2,S,4.0,159,315719.0,1302.9999999999998,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,315719.0,5.0,5.0,-4.0,26.0,15.0,2+ ($n_2$=89),89,Combined signal,317022.0
0,Position_3,4,G1,2.0,159,281526.00000000006,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,281526.00000000006,15.0,-1.0,-15.0,34.0,-3.0,2+ ($n_2$=89),88,Combined signal,281526.00000000006
0,Position_3,8,G1,1.0,159,228682.0,378409.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,228682.0,21.0,-23.0,-43.0,46.0,-69.0,1st ($n_1$=48),15,Combined signal,228682.0
0,Position_3,1,S,6.0,160,389564.0,3094.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,389564.0,6.0,6.0,-15.0,26.0,18.0,2+ ($n_2$=89),89,Combined signal,392658.0
0,Position_3,2,S,4.0,160,337402.0,1892.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,337402.0,6.0,6.0,-4.0,26.0,18.0,2+ ($n_2$=89),89,Combined signal,339294.0
0,Position_3,4,G1,2.0,160,284887.0,,MIA_KC_htb1_mCitrine_labeled,mother,7.0,15.0,145.0,284887.0,16.0,0.0,-15.0,34.0,0.0,2+ ($n_2$=89),89,Combined signal,284887.0
0,Position_3,8,G1,1.0,160,226688.0,389564.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,226688.0,22.0,-22.0,-43.0,46.0,-66.0,1st ($n_1$=48),16,Combined signal,226688.0
0,Position_3,1,S,6.0,161,397289.0,3933.0,MIA_KC_htb1_mCitrine_labeled,mother,13.0,25.0,155.0,397289.0,7.0,7.0,-15.0,26.0,21.0,2+ ($n_2$=89),89,Combined signal,401222.0
0,Position_3,2,S,4.0,161,358275.0,2793.0,MIA_KC_htb1_mCitrine_labeled,mother,12.0,25.0,155.0,358275.0,7.0,7.0,-4.0,26.0,21.0,2+ ($n_2$=89),89,Combined signal,361068.0
0,Position_3,8,G1,1.0,161,227752.0,397289.0,MIA_KC_htb1_mCitrine_labeled,mother,1.0,43.0,139.0,227752.0,23.0,-21.0,-43.0,46.0,-63.0,1st ($n_1$=48),21,Combined signal,227752.0
0,Position_3,5,S,1.0,121,265550.0,3148.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,265550.0,7.0,7.0,-21.0,61.0,21.0,1st ($n_1$=48),48,Combined signal,268698.0
0,Position_3,5,S,1.0,144,433796.0,21693.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,433796.0,30.0,30.0,-21.0,61.0,90.0,1st ($n_1$=48),31,Combined signal,455489.0
0,Position_3,1,G1,6.0,144,276694.0,255795.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,15.0,139.0,276694.0,6.0,-10.0,-15.0,26.0,-30.0,2+ ($n_2$=89),36,Combined signal,276694.0
0,Position_3,1,S,5.0,128,475472.0,45241.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,475472.0,20.0,20.0,-15.0,30.0,60.0,2+ ($n_2$=89),85,Combined signal,520713.0
0,Position_3,2,S,3.0,128,312720.0,4059.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,312720.0,6.0,6.0,-2.0,27.0,18.0,2+ ($n_2$=89),89,Combined signal,316779.0
0,Position_3,4,S,1.0,128,271445.0,230518.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,271445.0,27.0,27.0,-19.0,43.0,81.0,1st ($n_1$=48),36,Combined signal,501963.0
0,Position_3,5,S,1.0,128,379071.0,10120.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,379071.0,14.0,14.0,-21.0,61.0,42.0,1st ($n_1$=48),48,Combined signal,389192.0
0,Position_3,1,S,5.0,129,390728.0,130241.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,390728.0,21.0,21.0,-15.0,30.0,63.0,2+ ($n_2$=89),84,Combined signal,520969.0
0,Position_3,2,S,3.0,129,335504.0,2947.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,335504.0,7.0,7.0,-2.0,27.0,21.0,2+ ($n_2$=89),89,Combined signal,338451.0
0,Position_3,4,S,1.0,129,268019.0,239553.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,268019.0,28.0,28.0,-19.0,43.0,84.0,1st ($n_1$=48),34,Combined signal,507572.0
0,Position_3,5,S,1.0,129,382977.0,9953.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,382977.0,15.0,15.0,-21.0,61.0,45.0,1st ($n_1$=48),48,Combined signal,392930.0
0,Position_3,5,S,1.0,127,372795.0,9939.000000000002,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,372795.0,13.0,13.0,-21.0,61.0,39.0,1st ($n_1$=48),48,Combined signal,382734.0
0,Position_3,1,S,5.0,130,324751.0,199844.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,324751.0,22.0,22.0,-15.0,30.0,66.0,2+ ($n_2$=89),83,Combined signal,524595.0
0,Position_3,4,S,1.0,130,269840.0,226369.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,269840.0,29.0,29.0,-19.0,43.0,87.0,1st ($n_1$=48),32,Combined signal,496209.0
0,Position_3,5,S,1.0,130,389481.0,10408.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,389481.0,16.0,16.0,-21.0,61.0,48.0,1st ($n_1$=48),48,Combined signal,399889.0
0,Position_3,1,S,5.0,131,292180.0,252060.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,292180.0,23.0,23.0,-15.0,30.0,69.0,2+ ($n_2$=89),80,Combined signal,544240.0
0,Position_3,2,S,3.0,131,372241.0,4242.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,372241.0,9.0,9.0,-2.0,27.0,27.0,2+ ($n_2$=89),89,Combined signal,376483.0
0,Position_3,4,S,1.0,131,270418.0,241089.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,270418.0,30.0,30.0,-19.0,43.0,90.0,1st ($n_1$=48),31,Combined signal,511507.0
0,Position_3,5,S,1.0,131,406101.0,11868.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,406101.0,17.0,17.0,-21.0,61.0,51.0,1st ($n_1$=48),48,Combined signal,417969.0
0,Position_3,1,S,5.0,132,294439.0,252305.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,294439.0,24.0,24.0,-15.0,30.0,72.0,2+ ($n_2$=89),72,Combined signal,546744.0
0,Position_3,2,S,3.0,132,399070.0,5046.0,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,399070.0,10.0,10.0,-2.0,27.0,30.0,2+ ($n_2$=89),89,Combined signal,404116.0
0,Position_3,2,S,3.0,130,359559.0,3901.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,359559.0,8.0,8.0,-2.0,27.0,24.0,2+ ($n_2$=89),89,Combined signal,363460.0
0,Position_3,4,S,1.0,127,305600.0,176555.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,305600.0,26.0,26.0,-19.0,43.0,78.0,1st ($n_1$=48),37,Combined signal,482155.0
0,Position_3,2,S,3.0,127,285635.0,2167.0000000000005,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,285635.0,5.0,5.0,-2.0,27.0,15.0,2+ ($n_2$=89),89,Combined signal,287802.0
0,Position_3,1,S,5.0,127,499903.00000000006,20968.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,499903.00000000006,19.0,19.0,-15.0,30.0,57.0,2+ ($n_2$=89),86,Combined signal,520871.00000000006
0,Position_3,2,G1,3.0,122,272217.0,240954.0,MIA_KC_htb1_mCitrine_labeled,mother,6.0,2.0,120.0,272217.0,3.0,0.0,-2.0,27.0,0.0,2+ ($n_2$=89),89,Combined signal,272217.0
0,Position_3,4,S,1.0,122,478207.0,7350.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,478207.0,21.0,21.0,-19.0,43.0,63.0,1st ($n_1$=48),47,Combined signal,485557.0
0,Position_3,5,S,1.0,122,293236.0,3679.000000000001,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,293236.0,8.0,8.0,-21.0,61.0,24.0,1st ($n_1$=48),48,Combined signal,296915.0
0,Position_3,1,S,5.0,123,472688.0,15220.0,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,472688.0,15.0,15.0,-15.0,30.0,45.0,2+ ($n_2$=89),88,Combined signal,487908.0
0,Position_3,2,S,3.0,123,265988.0,200.00000000000003,MIA_KC_htb1_mCitrine_labeled,mother,11.0,26.0,123.0,265988.0,1.0,1.0,-2.0,27.0,3.0,2+ ($n_2$=89),89,Combined signal,266188.0
0,Position_3,4,S,1.0,123,484784.0,7865.0,MIA_KC_htb1_mCitrine_labeled,mother,7.0,42.0,102.0,484784.0,22.0,22.0,-19.0,43.0,66.0,1st ($n_1$=48),47,Combined signal,492649.0
0,Position_3,5,S,1.0,123,316382.0,3757.0,MIA_KC_htb1_mCitrine_labeled,mother,9.0,60.0,115.0,316382.0,9.0,9.0,-21.0,61.0,27.0,1st ($n_1$=48),48,Combined signal,320139.0
0,Position_3,1,S,5.0,124,483892.0,15900.999999999998,MIA_KC_htb1_mCitrine_labeled,mother,8.0,29.0,109.0,483892.0,16.0,16.0,-15.0,30.0,48.0,2+ ($n_2$=89),87,Combined signal,499793.0
