selection_subset,position,Cell_ID,cell_cycle_stage,generation_num,frame_i,mCitrine_corrected_amount,mCitrine_corrected_amount_rel,file,relationship,relative_ID,phase_length,phase_begin,gui_mCitrine_amount_autoBkgr,frames_in_phase,centered_frames_in_phase,Combined signal m&b,Bud signal,min_centered_frames,max_centered_frames,centered_time_in_minutes,Generation,contributing_ccs_at_time
0,Position_2,1,S,4,90,490113.00000000006,5270.999999999999,MIA_KC_test_files,mother,4,27,80,490113.00000000006,11,11,495384.00000000006,5270.999999999999,-6,28,33,2+ ($n_2$=79),79
0,Position_2,3,S,1,90,267700.0,581.0,MIA_KC_test_files,mother,5,41,89,267700.0,2,2,268281.0,581.0,-15,42,6,1st ($n_1$=38),38
0,Position_2,1,S,4,91,497999.0,5958.000000000002,MIA_KC_test_files,mother,4,27,80,497999.0,12,12,503957.0,5958.000000000002,-6,28,36,2+ ($n_2$=79),79
0,Position_2,3,S,1,91,273952.0,1169.0000000000002,MIA_KC_test_files,mother,5,41,89,273952.0,3,3,275121.0,1169.0000000000002,-15,42,9,1st ($n_1$=38),38
0,Position_2,1,S,4,92,497345.0,8270.0,MIA_KC_test_files,mother,4,27,80,497345.0,13,13,505615.0,8270.0,-6,28,39,2+ ($n_2$=79),79
0,Position_2,3,S,1,92,269903.0,1290.0,MIA_KC_test_files,mother,5,41,89,269903.0,4,4,271193.0,1290.0,-15,42,12,1st ($n_1$=38),38
0,Position_2,1,S,4,93,507398.0,9351.999999999998,MIA_KC_test_files,mother,4,27,80,507398.0,14,14,516750.0,9351.999999999998,-6,28,42,2+ ($n_2$=79),79
0,Position_2,3,S,1,93,266657.0,3279.0,MIA_KC_test_files,mother,5,41,89,266657.0,5,5,269936.0,3279.0,-15,42,15,1st ($n_1$=38),38
0,Position_2,1,S,4,94,499542.0,15121.999999999998,MIA_KC_test_files,mother,4,27,80,499542.0,15,15,514664.0,15121.999999999998,-6,28,45,2+ ($n_2$=79),78
0,Position_2,3,S,1,94,271965.0,3142.0000000000005,MIA_KC_test_files,mother,5,41,89,271965.0,6,6,275107.0,3142.0000000000005,-15,42,18,1st ($n_1$=38),38
0,Position_2,1,S,4,95,507306.0,12433.0,MIA_KC_test_files,mother,4,27,80,507306.0,16,16,519739.0,12433.0,-6,28,48,2+ ($n_2$=79),77
0,Position_2,3,S,1,95,287018.0,1968.0,MIA_KC_test_files,mother,5,41,89,287018.0,7,7,288986.0,1968.0,-15,42,21,1st ($n_1$=38),38
0,Position_2,1,S,4,96,493659.0,12586.000000000002,MIA_KC_test_files,mother,4,27,80,493659.0,17,17,506245.0,12586.000000000002,-6,28,51,2+ ($n_2$=79),77
0,Position_2,3,S,1,96,298541.0,3046.0,MIA_KC_test_files,mother,5,41,89,298541.0,8,8,301587.0,3046.0,-15,42,24,1st ($n_1$=38),38
0,Position_2,1,S,4,97,511282.0,16062.0,MIA_KC_test_files,mother,4,27,80,511282.0,18,18,527344.0,16062.0,-6,28,54,2+ ($n_2$=79),76
0,Position_2,3,S,1,97,310438.0,3822.000000000001,MIA_KC_test_files,mother,5,41,89,310438.0,9,9,314260.0,3822.000000000001,-15,42,27,1st ($n_1$=38),38
0,Position_2,1,S,4,98,504670.0,16534.0,MIA_KC_test_files,mother,4,27,80,504670.0,19,19,521204.0,16534.0,-6,28,57,2+ ($n_2$=79),76
0,Position_2,3,S,1,98,321553.0,6060.999999999999,MIA_KC_test_files,mother,5,41,89,321553.0,10,10,327614.0,6060.999999999999,-15,42,30,1st ($n_1$=38),38
0,Position_2,1,S,4,99,457581.00000000006,62631.0,MIA_KC_test_files,mother,4,27,80,457581.00000000006,20,20,520212.00000000006,62631.0,-6,28,60,2+ ($n_2$=79),75
0,Position_2,3,S,1,99,363461.0,3879.0,MIA_KC_test_files,mother,5,41,89,363461.0,11,11,367340.0,3879.0,-15,42,33,1st ($n_1$=38),38
0,Position_2,1,S,4,100,334160.0,182934.0,MIA_KC_test_files,mother,4,27,80,334160.0,21,21,517094.0,182934.0,-6,28,63,2+ ($n_2$=79),75
0,Position_2,3,S,1,100,352454.0,6829.999999999999,MIA_KC_test_files,mother,5,41,89,352454.0,12,12,359284.0,6829.999999999999,-15,42,36,1st ($n_1$=38),38
0,Position_2,1,S,4,101,285523.0,239937.0,MIA_KC_test_files,mother,4,27,80,285523.0,22,22,525460.0,239937.0,-6,28,66,2+ ($n_2$=79),74
0,Position_2,3,S,1,101,356480.0,8911.0,MIA_KC_test_files,mother,5,41,89,356480.0,13,13,365391.0,8911.0,-15,42,39,1st ($n_1$=38),38
0,Position_2,1,S,4,102,284434.0,245404.0,MIA_KC_test_files,mother,4,27,80,284434.0,23,23,529838.0,245404.0,-6,28,69,2+ ($n_2$=79),71
0,Position_2,3,S,1,102,379212.0,9332.999999999998,MIA_KC_test_files,mother,5,41,89,379212.0,14,14,388545.0,9332.999999999998,-15,42,42,1st ($n_1$=38),38
0,Position_2,1,S,4,103,282176.0,255466.0,MIA_KC_test_files,mother,4,27,80,282176.0,24,24,537642.0,255466.0,-6,28,72,2+ ($n_2$=79),65
0,Position_2,3,S,1,103,401774.0,9392.000000000002,MIA_KC_test_files,mother,5,41,89,401774.0,15,15,411166.0,9392.000000000002,-15,42,45,1st ($n_1$=38),38
0,Position_2,1,S,4,104,287462.0,254323.0,MIA_KC_test_files,mother,4,27,80,287462.0,25,25,541785.0,254323.0,-6,28,75,2+ ($n_2$=79),60
0,Position_2,3,S,1,104,431361.0,9136.0,MIA_KC_test_files,mother,5,41,89,431361.0,16,16,440497.0,9136.0,-15,42,48,1st ($n_1$=38),38
0,Position_2,1,S,4,105,289120.0,260174.0,MIA_KC_test_files,mother,4,27,80,289120.0,26,26,549294.0,260174.0,-6,28,78,2+ ($n_2$=79),55
0,Position_2,3,S,1,105,442117.0,12113.000000000002,MIA_KC_test_files,mother,5,41,89,442117.0,17,17,454230.0,12113.000000000002,-15,42,51,1st ($n_1$=38),38
0,Position_2,1,S,4,106,289486.0,256113.00000000003,MIA_KC_test_files,mother,4,27,80,289486.0,27,27,545599.0,256113.00000000003,-6,28,81,2+ ($n_2$=79),45
0,Position_2,3,S,1,106,449941.0,16198.0,MIA_KC_test_files,mother,5,41,89,449941.0,18,18,466139.0,16198.0,-15,42,54,1st ($n_1$=38),38
0,Position_2,1,S,4,107,282969.0,251289.0,MIA_KC_test_files,mother,4,27,80,282969.0,28,28,534258.0,251289.0,-6,28,84,2+ ($n_2$=79),36
0,Position_2,3,S,1,107,462945.0,15284.999999999998,MIA_KC_test_files,mother,5,41,89,462945.0,19,19,478230.0,15284.999999999998,-15,42,57,1st ($n_1$=38),38
0,Position_2,1,G1,5,108,288041.0,246654.00000000003,MIA_KC_test_files,mother,4,6,108,288041.0,1,-6,288041.0,0.0,-6,29,-18,2+ ($n_2$=79),63
0,Position_2,3,S,1,108,476830.0,17589.999999999996,MIA_KC_test_files,mother,5,41,89,476830.0,20,20,494420.0,17589.999999999996,-15,42,60,1st ($n_1$=38),38
0,Position_2,1,G1,5,109,284220.0,236255.0,MIA_KC_test_files,mother,4,6,108,284220.0,2,-5,284220.0,0.0,-6,29,-15,2+ ($n_2$=79),72
0,Position_2,3,S,1,109,465971.0,23356.0,MIA_KC_test_files,mother,5,41,89,465971.0,21,21,489327.0,23356.0,-15,42,63,1st ($n_1$=38),38
